epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db,val_final_nmse,val_final_nmse_db
1,0.001,0.9477874984741211,1.0082701091766357,0.9897686786651612,0.9252289481163025,-0.044662936023663606,-0.33750787692926865,0.45657006812633555,-3.4049256344074474
2,0.001,0.7718879146575928,0.7898595132827759,0.891993344783783,0.7963110814094544,-0.4963838590914748,-0.9891724061998184,0.38863941346422987,-4.1045315797698665
3,0.001,0.6502574472427368,0.692627935886383,0.8004573440551758,0.7268096632957458,-0.9666180644930218,-1.3857930716460793,0.35216868218101954,-4.532492677915569
4,0.001,0.583727515220642,0.6189010393619537,0.7305555510520935,0.6266673188209534,-1.363467549547094,-2.0296295349822615,0.3054702370497081,-5.150310980720385
5,0.001,0.5283480119705201,0.5682537002563477,0.6726616888046265,0.5750364394187927,-1.7220330669292558,-2.403046336806745,0.27681183242282315,-5.578153497423424
6,0.001,0.504514550447464,0.5398852472305298,0.6472033681869507,0.5697518634796143,-1.8895923122705671,-2.443142457042518,0.2743378625429511,-5.617142494180596
7,0.001,0.4843033390045166,0.5080078699588776,0.6203395924568176,0.5226676301956177,-2.073704996075782,-2.817743957559605,0.2495319867179112,-6.028737756330511
8,0.001,0.46700224208831786,0.47933025217056274,0.6036589164733887,0.5037864189147949,-2.192083801446116,-2.977535444001604,0.23960655027164904,-6.205013135450489
9,0.001,0.4522844099998474,0.48396160268783567,0.5779715728759766,0.5016902112960815,-2.380935215218639,-2.9956437260503677,0.23793254334153136,-6.235461530570813
10,0.001,0.4467556529045105,0.4793579187393188,0.5747020845413208,0.4696849558353424,-2.405572276041638,-3.281933501900344,0.2226195030418163,-6.524367910686438
11,0.001,0.43608423686027525,0.46811345958709716,0.5684676141738891,0.4599452850818634,-2.4529427220088693,-3.372938287539711,0.21678349070769173,-6.639737948622334
12,0.001,0.43964236426353454,0.4558468120098114,0.5668070149421692,0.46266015672683714,-2.465647834566477,-3.3473789937352643,0.2156325656026382,-6.662856498234068
13,0.001,0.4282602827548981,0.4728833222389221,0.5572922716140747,0.44197817611694334,-2.539169795862439,-3.5459917460109427,0.20913720070067807,-6.795687093054919
14,0.001,0.4226505241394043,0.44772817587852476,0.5426204051971436,0.4400175330638886,-2.655038786579194,-3.5653001814747025,0.20762036353245555,-6.8273005286566955
15,0.001,0.4205785751342773,0.4970242359638214,0.5432055668830872,0.4743688707351685,-2.6503578796500364,-3.238838181925213,0.2283839674309538,-6.413343868563921
16,0.001,0.4226957516670227,0.46557790207862854,0.5453934526443481,0.44472298383712766,-2.632900799944959,-3.5191042509188315,0.20932706620641908,-6.791746133043456
17,0.001,0.4108589427471161,0.42764780688285825,0.5274123363494873,0.4348139011859894,-2.7784971613179463,-3.616965797838571,0.20317563200163782,-6.921283806490976
18,0.001,0.4084884798526764,0.4633490962982178,0.5307845778465271,0.45019188690185546,-2.750817042202893,-3.4660233586927074,0.2148700065420042,-6.678242029469011
