epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db
1,0.001,0.3105187452236811,0.19565011127789816,0.5285366651217143,0.29481697408358254,-2.7692487986514,-5.30447515593797
2,0.001,0.1675809922615687,0.12896563005447387,0.39426934281984966,0.2339501401980718,-4.042069910266857,-6.308766902143496
3,0.001,0.13147507468859354,0.11230896248420079,0.3558986692428589,0.2128772365649541,-4.486736358836608,-6.718707761510553
4,0.001,0.11164525047938029,0.09068025521437327,0.31821648446718853,0.1940020919640859,-4.972773264879814,-7.121935869586378
5,0.001,0.09918689926465353,0.08077956225474675,0.2873915808200836,0.19313722519079843,-5.415259587381076,-7.141340124097803
6,0.001,0.09093212431669236,0.07677877960602443,0.2665442334810893,0.16493579177061718,-5.742307087287104,-7.826850903725877
7,0.001,0.08683103208740552,0.06915574969847997,0.2602737429141998,0.17297992765903472,-5.845696424272685,-7.6200428885196985
8,0.001,0.08006267928083738,0.06900119918584824,0.23891882538795473,0.15529879335562388,-6.217496290697154,-8.088319186502567
9,0.001,0.07508842474222183,0.06481843274831772,0.21825913906097413,0.12573730633656183,-6.610275622356676,-9.005358477531127
10,0.001,0.07198472183942795,0.057332874973615014,0.20968052383263905,0.13996330092350642,-6.784419070874936,-8.539858235772488
11,0.001,0.07061283524831136,0.06178392936786016,0.2101863997777303,0.12675435600678125,-6.773953886530284,-8.970371068885003
12,0.001,0.06798913360635439,0.05406185380617778,0.19672865827878316,0.12514543145895005,-7.061323699954954,-9.025850000580224
13,0.001,0.06452642538150151,0.053939153552055356,0.18981241202354432,0.10724592314163844,-7.216753920294506,-9.696192081478308
14,0.001,0.06572295810778936,0.053632349848747256,0.18975588230292004,0.11777462901671727,-7.218047523910991,-9.28948255090122
15,0.001,0.0615442854364713,0.052877889732519785,0.18669481762250265,0.11583475758632024,-7.288677372688528,-9.36161105867685
16,0.001,0.06208377689123154,0.05767002993822098,0.1833565452893575,0.12038050973415375,-7.367035823910584,-9.194438220490964
17,0.001,0.060112866818904875,0.052230669617652895,0.17962861335277558,0.11527674398819605,-7.456244826384381,-9.382582987444625
18,0.001,0.060972657024860384,0.055488903820514676,0.18864986141522724,0.1259204657872518,-7.243435095015448,-8.9990367850106
19,0.001,0.05703698337078095,0.05184755096832911,0.1669277997414271,0.109570725162824,-7.7747133097253425,-9.603054640863872
20,0.001,0.05700324720144272,0.05736468362808227,0.16853575778007507,0.11524709339936574,-7.733079419200082,-9.383700189668145
21,0.001,0.05610184700290362,0.052379723687966666,0.16724710774421692,0.11355666673183441,-7.76641383883534,-9.447873639554183
