pilot_length,best_epoch,epochs_completed,cnn_val_nmse_db_mean,ls_val_nmse_db_mean,cnn_nmse_db_mean,ls_nmse_db_mean,cnn_gain_db
8,15,23,-2.1694360773550514,20.274690917874942,-2.113947890247172,20.2810142209108,22.394962111157973
12,13,21,-3.5357112745569212,26.93202363625695,-3.523592014389573,26.912204408492332,30.435796422881907
16,35,43,-4.178286395199361,19.769815729749162,-4.090770254849891,19.764683929913545,23.85545418476344
24,22,30,-4.723876131049068,13.811392698014808,-4.533083856262186,13.615144104025712,18.148227960287898
32,21,29,-5.559793015991777,-8.435009315958483,-5.530274947052085,-8.447909058789461,-2.9176341117373763
