pilot_length,best_epoch,epochs_completed,cnn_val_nmse_db_mean,ls_val_nmse_db_mean,cnn_nmse_db_mean,ls_nmse_db_mean,cnn_gain_db
8,45,53,-5.501400658783702,20.274690917874942,-5.457599875809291,20.2810142209108,25.73861409672009
12,48,56,-8.35710506583247,26.93202363625695,-8.39379761708275,26.912204408492332,35.30600202557508
16,28,36,-9.806113501372376,19.769815729749162,-9.708634428713742,19.764683929913545,29.47331835862729
24,43,51,-6.4200238906144405,13.811392698014808,-6.232634321897493,13.615144104025712,19.847778425923202
32,21,29,-8.28289021540984,-8.435009315958483,-8.230247995280168,-8.447909058789461,-0.21766106350929348
