epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db
1,0.001,0.1555282039642334,0.12361399805545807,0.2154885278940201,0.20594184613227845,-6.665758457118009,-6.862553984143362
2,0.001,0.11300326776504517,0.10586816674470902,0.17040014868974684,0.186596892952919,-7.68530030607415,-7.290955920184391
3,0.001,0.10776821619272232,0.10704829531908035,0.16880647349357605,0.24135778772830963,-7.726109028014103,-6.173386835332288
4,0.001,0.10247529381513595,0.10438116902112961,0.16212674164772034,0.17439013200998307,-7.901453454711227,-7.584780935712371
5,0.001,0.09993480190634728,0.11475543665885925,0.16350325453281403,0.24333014488220214,-7.864735982845814,-6.13804085294293
6,0.001,0.10078836911916733,0.10676475447416306,0.16273708474636078,0.2070876212120056,-7.885134681727082,-6.838458605463997
7,0.001,0.09487080419063568,0.10349631887674332,0.15069229388237,0.18672233045101166,-8.219089561122741,-7.288037409061453
8,0.001,0.09853798550367356,0.10238795393705367,0.15388321578502656,0.16965932381153107,-8.12808746571752,-7.704222682403198
9,0.001,0.09916097474098205,0.10268385154008865,0.1574851016998291,0.1753741359114647,-8.027605247670246,-7.560344557771675
10,0.001,0.09151583305001258,0.11120320576429367,0.1460016975402832,0.16779136770963668,-8.356420947080839,-7.752303858941171
11,0.001,0.09296692234277726,0.10229621094465256,0.14713731491565704,0.17370140480995178,-8.322771735888416,-7.601966691824749
12,0.001,0.09136262595653534,0.1032894594669342,0.15235550260543823,0.17114871329069137,-8.171418557962651,-7.666263615734493
13,0.001,0.09083674854040145,0.10186879235506058,0.14746347987651826,0.1641264346241951,-8.313155217326793,-7.848214647309577
14,0.001,0.08993867236375809,0.1026229511499405,0.1461285299062729,0.2090515705347061,-8.352649848100873,-6.7974656539175635
15,0.001,0.0882528877556324,0.10270681339502334,0.1427725152373314,0.16741752529144288,-8.453553894059228,-7.761990819521615
16,0.001,0.09063803249597549,0.1015773525238037,0.14602039778232576,0.19077878087759018,-8.355864728077515,-7.194699307862055
17,0.001,0.09118966409564018,0.1027770637869835,0.14584135949611665,0.20473855328559876,-8.361192959513403,-6.888003698306272
18,0.001,0.08606815814971924,0.10153522115945816,0.14015053749084472,0.1599160836338997,-8.534052323392261,-7.961078546891729
19,0.001,0.08875527584552764,0.10108906805515289,0.14124364829063416,0.17240526407957077,-8.500310732384516,-7.634494779207744
20,0.001,0.08981969660520553,0.1027541230916977,0.1424690614938736,0.18466952574253082,-8.462794365769211,-7.336047661396488
21,0.001,0.08726988846063614,0.10146942007541657,0.13828906828165055,0.18366973596811295,-8.592121494105715,-7.3596239832045285
22,0.001,0.08772660094499588,0.10311098492145539,0.14583831775188447,0.15897743570804596,-8.361283539203281,-7.986645124273154
23,0.001,0.08551131004095078,0.1027684713602066,0.13471362924575805,0.17468250280618666,-8.705884636178366,-7.577505942459499
24,0.001,0.08521416169404984,0.1031424270272255,0.13648998403549195,0.19092812794446945,-8.648992170313948,-7.191300856912136
25,0.001,0.08457904082536698,0.10082133394479752,0.13847783637046815,0.17781745171546937,-8.58619730659145,-7.500256178776711
26,0.001,0.08570211896300316,0.10225497645139695,0.13427742886543273,0.16857913148403167,-8.719969831839693,-7.7319618796910365
27,0.001,0.085907292842865,0.10548657166957855,0.1376117557287216,0.2125423812866211,-8.613444641380267,-6.725544579727055
28,0.001,0.0901264426112175,0.10220472294092178,0.14789080548286437,0.1721569516658783,-8.300588256797914,-7.640754358743504
29,0.001,0.08619626712799072,0.10589375442266465,0.1306750666499138,0.19151410847902298,-8.838072697212592,-7.177992268708606
30,0.001,0.08590194082260132,0.10223083031177521,0.13483586865663527,0.1621127564907074,-8.701945626410769,-7.901828096083294
