epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db,val_final_nmse,val_final_nmse_db
1,0.001,0.9526501369476318,0.7659520654678345,0.9917028160095215,0.939959680557251,-0.03618453555276167,-0.2689077500354543,0.6486250951113847,-1.8800625261407706
2,0.001,0.8114321360588074,0.673935254573822,0.9129984264373779,0.8526696829795838,-0.39529970976273454,-0.6921917826068026,0.589994725826185,-2.2915187065416505
3,0.001,0.7408702688217164,0.6241775290966034,0.8587805833816529,0.7967080130577088,-0.6611778331535623,-0.987008148047535,0.5493558573339078,-2.601462405952982
4,0.001,0.6925918109416962,0.5879970171451568,0.8209551153182983,0.7404348502159118,-0.8568058673251719,-1.3051314840066945,0.5018357508385438,-2.99438402728784
5,0.001,0.661454791545868,0.5655948429107666,0.7780945816040039,0.7041411695480346,-1.0896760895878663,-1.5234026271933823,0.4837701272661538,-3.153609527662398
6,0.001,0.6450240082740784,0.5553530678749085,0.7595480527877808,0.7008379688262939,-1.1944474530294722,-1.543823777231644,0.48049376957164397,-3.1831223933403683
7,0.001,0.6304808411598205,0.5644061133861542,0.7545723719596863,0.7038043456077576,-1.2229910017545884,-1.5254805596112382,0.49123226620746985,-3.08713114636375
8,0.001,0.6183848752975464,0.54641423869133,0.7400545115470887,0.6858591990470886,-1.307362894687842,-1.6376503203837163,0.47793231814455217,-3.20633601165155
9,0.001,0.606923168182373,0.5252630796432495,0.727644757270813,0.659943193435669,-1.3808059542779763,-1.80493446032676,0.45557390341919823,-3.414411615148932
10,0.001,0.5934920747280121,0.513430524110794,0.7159478163719177,0.652188916683197,-1.451186311664858,-1.8562658587999779,0.4478160108361111,-3.489003830806399
11,0.001,0.5866003587245942,0.5007001128196716,0.7126919269561768,0.6354484114646911,-1.470981606617837,-1.9691970164127568,0.43361114079753976,-3.6289956797165637
12,0.001,0.5745768465995789,0.49314708495140075,0.7102251834869385,0.6212062311172485,-1.4860393235050475,-2.067641966552227,0.43013486119719324,-3.6639535769694476
13,0.001,0.5596865382194519,0.4917967631816864,0.6964305138587952,0.6244102854728699,-1.5712220867737126,-2.04529951722175,0.4295062207365895,-3.6703054170000406
14,0.001,0.5550348834991455,0.48497890996932985,0.6922313241958619,0.6188170614242554,-1.5974875231491588,-2.0843772086106647,0.42372551920508106,-3.729153794821214
15,0.001,0.5537760910987855,0.4742265586853027,0.6924120788574218,0.6028954486846924,-1.59635364633486,-2.197579946527836,0.4142020548495852,-3.8278775090943635
16,0.001,0.5497054576873779,0.4853196756839752,0.684110517501831,0.6085596294403076,-1.6487373268918135,-2.1569686120038605,0.4246113047468959,-3.7200844746667623
17,0.001,0.5552819075584412,0.4877801985740662,0.6869574208259582,0.6092925653457641,-1.6307018066010517,-2.1517412115176366,0.4264465220619243,-3.7013542318252943
18,0.001,0.5371130928993225,0.4839902994632721,0.6697974734306336,0.6111071481704712,-1.7405649501234113,-2.138826362722615,0.42496619665010676,-3.716456139313058
19,0.001,0.5441224176883698,0.4693689765930176,0.6683561162948608,0.5966964926719666,-1.749920732559873,-2.242465148920974,0.4148449926426831,-3.821141476620179
20,0.001,0.5311020624637603,0.47016118025779724,0.6669171261787414,0.5955933675765991,-1.759281299206442,-2.2505014712020155,0.40911193825485237,-3.8815784721255797
21,0.001,0.5289984340667725,0.4636896412372589,0.66868789768219,0.5818612570762635,-1.7477653685304693,-2.351805591120522,0.4061399704284989,-3.9132426714055897
22,0.001,0.5235230865478515,0.44979762291908265,0.6600836591720581,0.5775897536277771,-1.8040101837589004,-2.383805197015517,0.3994349882560393,-3.985538960476833
