epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db,val_final_nmse,val_final_nmse_db
1,0.001,0.9400215973854065,0.8460032682418823,0.9972588949203491,0.8833403749465942,-0.011920813679882371,-0.5387191875840878,0.3683962300416066,-4.336848227762329
2,0.001,0.6969989328384399,0.6236668119430542,0.8372029728889465,0.7565379710197448,-0.7716923816066548,-1.2116926963616175,0.3097190240657991,-5.090321178816625
3,0.001,0.5637479057312011,0.5242992830276489,0.7194647035598755,0.6287948904037476,-1.4299050739129127,-2.014909960374673,0.2566857730628221,-5.905982016500829
4,0.001,0.49413166332244873,0.49168357348442077,0.6475517578125,0.5343847794532776,-1.8872551337177779,-2.7214592009386793,0.2167667094362443,-6.640074150224371
5,0.001,0.4543117351531982,0.42635392808914185,0.5920881533622742,0.48836290240287783,-2.2761362829625273,-3.112573338623693,0.19487857975799988,-7.102358941001291
6,0.001,0.4323592302799225,0.4281241664886475,0.5620622582435608,0.45612708187103274,-2.502155760428834,-3.4091414140084817,0.18456949796107164,-7.338400690832635
7,0.001,0.41561815977096556,0.4156107351779938,0.5225296773910523,0.4523466384410858,-2.818890384969987,-3.4452863274180467,0.18338406128088786,-7.366384134782407
8,0.001,0.40798000669479373,0.41360216760635377,0.5158294489383698,0.462799590587616,-2.874938674203662,-3.3460703391565936,0.18735618052473432,-7.273319757833453
9,0.001,0.40563880395889285,0.3896610126495361,0.5139726247787476,0.4050755705833435,-2.890600117909865,-3.9246394758601397,0.16255323313955458,-7.890043880829345
10,0.001,0.39285451698303225,0.3582930054664612,0.489917004108429,0.38504496741294864,-3.0987748672798716,-4.144885485202958,0.1548530216051936,-8.100803159535682
11,0.001,0.3833035523891449,0.36701628828048705,0.48306027984619143,0.3755760636329651,-3.159986713787461,-4.25302094157194,0.15149196598467665,-8.196103983236538
12,0.001,0.3817596657276154,0.3821268167495728,0.4769386582374573,0.3968974175453186,-3.215374744233959,-4.013217268662471,0.16110072472786297,-7.929025058588465
13,0.001,0.3682176560163498,0.39470652079582214,0.4575091562271118,0.3956375312805176,-3.396002098836134,-4.02702516733885,0.16167700153300102,-7.913517538578393
14,0.001,0.3686258893013,0.3675665519237518,0.4545992798805237,0.3757985773086548,-3.423712565656511,-4.250448683764464,0.1538081984866164,-8.130205145826956
15,0.001,0.3607362639904022,0.3523280484676361,0.45156925582885743,0.3603173551559448,-3.4527563379399235,-4.433148190127748,0.14511027116500147,-8.383018463326943
16,0.001,0.35157049894332887,0.35951222109794617,0.4423204407691956,0.36961313676834107,-3.542629902977203,-4.322526015087168,0.15073246962119993,-8.21793185254029
17,0.001,0.3629972777366638,0.3521782348155975,0.4548680458068848,0.3636631436347961,-3.4211457101171563,-4.393007113926737,0.14779854713066054,-8.303298350632385
18,0.001,0.3587384262084961,0.3555727655887604,0.4429680736064911,0.3600717358589172,-3.536275739037568,-4.436109676102814,0.1470398455583141,-8.325649621141608
19,0.001,0.35330291390419005,0.3411872065067291,0.438681126832962,0.34421982550621033,-3.5785104963566443,-4.6316411988878485,0.14050340122526705,-8.52313162481419
20,0.001,0.34375154089927673,0.3368851237297058,0.4322447419166565,0.33658423328399656,-3.6427028103951278,-4.72906231670156,0.13636506114301505,-8.65296888451554
21,0.001,0.3485542871952057,0.3359715533256531,0.43177796268463137,0.3380422554016113,-3.647395271909804,-4.710290093651149,0.13814624923404067,-8.596609019821583
22,0.001,0.34259741044044495,0.32753158712387087,0.4351670444011688,0.3369419465065002,-3.6134400158343674,-4.7244491955518395,0.13685551513725386,-8.637376962778713
23,0.001,0.34088213086128233,0.3266768310070038,0.42900686311721803,0.33130137491226197,-3.675357600528169,-4.797767617770516,0.134492820646442,-8.713008980917
24,0.001,0.33577438938617704,0.3421327531337738,0.42714641666412356,0.3451466705799103,-3.694232325868099,-4.619963116302951,0.140269591362667,-8.530364682073534
25,0.001,0.3434459710121155,0.3336299839019775,0.42593591737747194,0.3372996401786804,-3.706557361621399,-4.719841221031108,0.136995585044058,-8.632934286238779
26,0.001,0.34101348161697387,0.33331461071968077,0.4242739896774292,0.34009850811958314,-3.7235359205100282,-4.683952731447662,0.13905187995301999,-8.568231351874259
27,0.001,0.33562369012832644,0.36776817798614503,0.4217512924671173,0.3782838068008423,-3.7494357783077077,-4.2218224915811255,0.154561753740638,-8.108979631622725
28,0.001,0.32633726406097413,0.31686994624137876,0.4239067738056183,0.32450604486465456,-3.7272964358064193,-4.887772087960874,0.13177001732241325,-8.801833969706692
29,0.001,0.33318575859069827,0.3275617907047272,0.421447473526001,0.33607002305984496,-3.7525654530808734,-4.735702242169432,0.13681854613007607,-8.638550288145543
30,0.001,0.3178891773223877,0.329530526638031,0.40885818243026734,0.32476548361778257,-3.8842730634099447,-4.8843013420578325,0.13268134884672325,-8.771901220657961
31,0.001,0.3329075835943222,0.32710781693458557,0.4185568025112152,0.3270540542602539,-3.7824559539310547,-4.853804628538533,0.13387789135376607,-8.732911366237584
32,0.001,0.3243255684375763,0.3218574321269989,0.41296976041793826,0.3248288948535919,-3.840817482574934,-4.883453454489749,0.13304986990683973,-8.759855457557284
33,0.001,0.33142358684539797,0.32710536003112795,0.41468426179885864,0.33788934993743897,-3.8228244677635153,-4.712254967018546,0.13810568898918468,-8.597884311554592
34,0.001,0.3211887290477753,0.33911542415618895,0.40823960018157956,0.34183279490470886,-3.890848700114579,-4.661862740818731,0.14010458448671023,-8.535476535457363
