epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db
1,0.001,0.9027509083747863,0.6417055506706237,4.800464688514694e-08,3.4123285416853834e-08,-73.18716720564066,-74.66949161275922
2,0.001,0.5663875293731689,0.3552804133892059,3.0118205529561235e-08,1.8892368458978126e-08,-75.21170907365945,-77.23713592941805
3,0.001,0.3964611084461212,0.2868443932533264,2.1082210935219338e-08,1.5253219906696814e-08,-76.7608384570736,-78.16638468441612
4,0.001,0.3356536648273468,0.21829769718647002,1.7848714911394836e-08,1.160817815559767e-08,-77.48393047169773,-79.35235935218903
5,0.001,0.3075982611179352,0.19794087076187133,1.6356838941078423e-08,1.0525693120655432e-08,-77.86300622614084,-79.7774929610373
6,0.001,0.28848806619644163,0.18747865581512452,1.5340636863925284e-08,9.969357492423115e-09,-78.14156610351368,-80.01332830302864
7,0.001,0.291177783370018,0.21701194787025452,1.5483665933402337e-08,1.1539814110506085e-08,-78.10126207337909,-79.37801186971595
8,0.001,0.27617277538776397,0.19214096546173096,1.4685761946964248e-08,1.0217277228719013e-08,-78.33103515891091,-79.9066482260514
9,0.001,0.27308694410324097,0.17498759365081787,1.4521665306688192e-08,9.305129509584732e-09,-78.37983577021978,-80.31277577943575
10,0.001,0.26463655388355256,0.15886259543895723,1.4072308260892897e-08,8.447669657130064e-09,-78.51634660010342,-80.73263077396746
11,0.001,0.25467602705955505,0.15970198237895966,1.3542647018027765e-08,8.49230633548359e-09,-78.68296441044683,-80.70974348301306
12,0.001,0.2538953794240952,0.1682962853908539,1.3501135754268034e-08,8.949309943773188e-09,-78.69629695870627,-80.48210450624339
13,0.001,0.2439409704208374,0.14952865850925445,1.2971801453431909e-08,7.951329259014983e-09,-78.86999707265394,-80.99560262337431
14,0.001,0.2464045089483261,0.1655229095220566,1.3102800522801772e-08,8.801839236127762e-09,-78.82635870633364,-80.55426568004408
15,0.001,0.24998930859565735,0.14418618869781494,1.3293426547988929e-08,7.66723588085938e-09,-78.76363059758934,-81.15361175562103
16,0.001,0.24889807486534118,0.14327804338932038,1.3235399165978378e-08,7.618943929088573e-09,-78.78262956291789,-81.181052225652
17,0.001,0.24198364400863648,0.16052246379852295,1.2867718609754775e-08,8.535933275766184e-09,-78.90498444783353,-80.68748988391437
18,0.001,0.23919876551628114,0.14205514204502107,1.2719629651769537e-08,7.553919378011642e-09,-78.95525533540936,-81.21827654651665
19,0.001,0.24654222905635834,0.17299265229701996,1.3110127198956434e-08,9.199045926777671e-09,-78.82393094615264,-80.36257212895967
20,0.001,0.23605597591400146,0.14152773177623748,1.2552502617779738e-08,7.525865207469452e-09,-79.01269679383037,-81.23443564407923
21,0.001,0.2394382619857788,0.12755966114997863,1.273236523502419e-08,6.783099767204703e-09,-78.95090911892024,-81.68571795196833
22,0.001,0.22875473356246948,0.15685145938396453,1.2164253945456948e-08,8.340724022559698e-09,-79.14914521941301,-80.78796248480427
23,0.001,0.23722458839416505,0.12753701561689376,1.2614648767339531e-08,6.781900243169048e-09,-78.99124837142432,-81.6864860266761
24,0.001,0.2335098879337311,0.1673946715593338,1.2417116195706513e-08,8.901368978797564e-09,-79.0597925486105,-80.50543196252066
25,0.001,0.24573212921619414,0.15818655908107757,1.3067048907799972e-08,8.41172032650661e-09,-78.83822483404289,-80.75115175200416
26,0.001,0.22713999724388123,0.12643424832820893,1.2078391641523467e-08,6.723260714380785e-09,-79.17990892512522,-81.72420047361734
27,0.001,0.2354986662864685,0.14598614609241486,1.2522872978593113e-08,7.762950090750564e-09,-79.02296024511068,-81.09973205976388
28,0.001,0.23656844425201415,0.15011054539680482,1.2579757765251998e-08,7.98226794174184e-09,-79.00327721547923,-80.97873698292548
29,0.001,0.22997675466537476,0.14683507025241851,1.2229241427519355e-08,7.808093712924346e-09,-79.126004811534,-81.07454982897501
30,0.001,0.23169803619384766,0.13686544144153595,1.2320771766383132e-08,7.277947492667636e-09,-79.09362087351485,-81.37991081990641
31,0.001,0.2221041316986084,0.16909944927692414,1.1810605897721871e-08,8.99202049708947e-09,-79.27727822006516,-80.46142711810302
32,0.001,0.22803267848491668,0.1610735025405884,1.2125861658773829e-08,8.565232249679866e-09,-79.16287390840775,-80.67260856471164
33,0.001,0.2227881953716278,0.13565654098987578,1.1846977564289319e-08,7.2136588542548456e-09,-79.26392434006405,-81.41844400029564
34,0.001,0.2212750860452652,0.155506401181221,1.176652047973903e-08,8.269198723098726e-09,-79.29351944961051,-80.82536571099944
