pilot_length,best_epoch,epochs_completed,cnn_val_nmse_db_mean,ls_val_nmse_db_mean,cnn_nmse_db_mean,ls_nmse_db_mean,cnn_gain_db
8,43,51,-9.029810021069745,20.274690917874942,-9.153029422934772,20.2810142209108,29.434043643845573
12,36,44,-9.120467391788178,26.93202363625695,-9.237572035175711,26.912204408492332,36.149776443668046
16,31,39,-9.103354302799525,19.769815729749162,-9.193372740746979,19.764683929913545,28.958056670660525
24,19,27,-8.99709476390839,13.811392698014808,-8.637442783929693,13.615144104025712,22.252586887955403
32,20,28,-7.962116528858908,-8.435009315958483,-8.00078247340933,-8.447909058789461,-0.44712658538013095
