epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db
1,0.001,0.9643234615325927,0.8826830372810364,1.018210693836212,0.940865343093872,0.07837653936507787,-0.2647252847069473
2,0.001,0.6999761085510254,0.5255796647071839,0.8643336567878723,0.713457483291626,-0.6331857542679169,-1.466319024680525
3,0.001,0.5054858603477478,0.3742238736152649,0.7265470595359802,0.6072089972496033,-1.3873625055399437,-2.1666180195627542
4,0.001,0.41365300107002256,0.3424264659881592,0.6372504577636718,0.5592418718338013,-1.9568984388668187,-2.5240031933393636
5,0.001,0.36909004259109496,0.3332095379829407,0.5406910977363586,0.3877951667308807,-2.670507808512359,-4.113976080350049
6,0.001,0.3448472895622253,0.2534774404764175,0.477118465423584,0.2882281696796417,-3.213737750646693,-5.402635761293495
7,0.001,0.33237636065483095,0.2524067089557648,0.43444399547576906,0.27401355028152463,-3.6206620085738934,-5.6222796029279944
8,0.001,0.3378487980365753,0.25288778269290924,0.43361793184280395,0.3050364978313446,-3.6289276627743803,-5.15648193904242
9,0.001,0.3242769911289215,0.24390421724319458,0.4087190885543823,0.25946353387832644,-3.885750788035862,-5.859236711421887
10,0.001,0.31717125749588015,0.2184466565847397,0.39299620628356935,0.23497002923488616,-4.056116419860595,-6.28987529081394
11,0.001,0.31374428486824035,0.20016972863674165,0.3797974224090576,0.20304652547836305,-4.204479870379732,-6.9240443773506115
12,0.001,0.31629345870018005,0.25992814004421233,0.3793036599159241,0.27279499530792234,-4.210129667524651,-5.641636015012273
13,0.001,0.30929623794555666,0.2029014595746994,0.3725599753856659,0.21234021997451782,-4.288038037683405,-6.729677370698758
14,0.001,0.2983201620578766,0.22699714684486388,0.3641013207435608,0.2372169346809387,-4.38777745700497,-6.2485431035011025
15,0.001,0.3005729153156281,0.2539835858345032,0.3561874990463257,0.2472288088798523,-4.483213268448961,-6.069009235162551
16,0.001,0.29150228571891784,0.21376647448539735,0.35363507390022275,0.22075641238689422,-4.514446677372514,-6.560866724670546
17,0.001,0.29334286308288576,0.2040410236120224,0.34923825883865356,0.2049079418182373,-4.568781856641671,-6.884412088950665
18,0.001,0.29543816900253295,0.20790019249916078,0.3487075324058533,0.19959639537334442,-4.575386713594238,-6.9984730615286415
19,0.001,0.28023925065994265,0.20631812596321106,0.34260350990295413,0.2138447802066803,-4.652081920894904,-6.699013460856934
20,0.001,0.2937102122306824,0.19144422018527985,0.35322145533561705,0.19234384405612945,-4.519529244295038,-7.1592170868254055
21,0.001,0.28646477818489074,0.21559292316436768,0.34625299167633056,0.21500800323486327,-4.6060646554364215,-6.675453740562615
22,0.001,0.2933252923488617,0.2067509412765503,0.35047083568572995,0.20446073317527771,-4.553481158648995,-6.893900862030903
23,0.001,0.277056565284729,0.1989045704603195,0.341310254573822,0.1998121600151062,-4.6685066326568485,-6.993780853454576
24,0.001,0.2876898379325867,0.20539236176013947,0.34160840773582457,0.20621937799453735,-4.664714489070998,-6.856705274100181
25,0.001,0.285996515750885,0.2056086163520813,0.3445699348449707,0.20278922879695893,-4.627226192285435,-6.929551163913409
26,0.001,0.29625819087028504,0.19292256689071655,0.3404177613258362,0.2009754651784897,-4.679877886445344,-6.9685695744500755
27,0.001,0.28171744108200075,0.20964372968673706,0.3425846357345581,0.19824902784824372,-4.6523211821033525,-7.027889336506032
28,0.001,0.290355920791626,0.2092991418838501,0.34215796184539793,0.19734911715984343,-4.657733497337485,-7.047648120780225
