epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db
1,0.001,0.3601434338092804,0.2488623587290446,0.5843797660668691,0.9625793118476867,-2.333048297631274,-0.1656347659481418
2,0.001,0.22514048715432486,0.11681699242194493,0.527374233563741,0.27578579672177633,-2.7788109277247997,-5.594281042377421
3,0.001,0.18362593384583792,0.10538377865155538,0.4580409220059713,0.2566281638542811,-3.3909571979643287,-5.906956833651966
4,0.001,0.1581422700881958,0.08843029510974884,0.39592458264033,0.24667494837443033,-4.0238753241398975,-6.078749540173139
5,0.001,0.14285592259963353,0.08600557076931,0.3620576395193736,0.2598585535685221,-4.412222843494014,-5.85262983261091
6,0.001,0.13282436984777451,0.0942967273592949,0.3504740400314331,0.21775150001049043,-4.553441451399388,-6.6203884461405345
7,0.001,0.11681083301703135,0.07847591036558152,0.30690034651756287,0.2791865590810776,-5.130026212111214,-5.541054938476976
8,0.001,0.11395650422573089,0.07441885300477345,0.3023410708904266,0.20849823689460753,-5.195028529891736,-6.80897613161113
9,0.001,0.10494415855407715,0.06905342165629069,0.28356291007995604,0.16800483707586925,-5.473505753261364,-7.7467821419605905
10,0.001,0.10506907893220584,0.06069271049896876,0.2758188142776489,0.1692484132051468,-5.593761128582192,-7.7147539436795345
11,0.001,0.09604377899567286,0.06279744891325632,0.25550789399941765,0.17078339922428132,-5.9259567765284125,-7.675543466193771
12,0.001,0.09547404239575068,0.06822982287406922,0.25283364884058634,0.1607078946828842,-5.971651276471168,-7.939627882460072
13,0.001,0.09335845893621444,0.05957797517379125,0.25752790888150534,0.15737680828571318,-5.891756985977892,-8.030592667395526
14,0.001,0.08777501625816027,0.07866896073023479,0.24374805323282878,0.3817292100588481,-6.130588442391335,-4.182446064066737
15,0.001,0.08879736691713333,0.05487967363993327,0.24881916936238607,0.14395914129416149,-6.041161640631829,-8.417607525464916
16,0.001,0.08560036649306615,0.05877152979373932,0.22930853366851806,0.14703803034623464,-6.395797827921475,-8.325703235279509
17,0.001,0.081351966381073,0.05739439988136291,0.2218465891679128,0.18716838459173837,-6.539472440578228,-7.277675079318654
18,0.001,0.0831848787466685,0.05736539777119955,0.22243459681669872,0.1542273759841919,-6.5279766296212465,-8.11838530412074
19,0.001,0.08110897168517113,0.055326720277468364,0.21885872046152752,0.14628931419054667,-6.598361441714141,-8.347873960727139
20,0.001,0.07842737266421318,0.05366348836819331,0.21921811970074973,0.16549486442406972,-6.59123551643789,-7.81215478546228
21,0.001,0.07563493146498998,0.06445211621125539,0.20393104859193167,0.16007971632480622,-6.905166476617593,-7.956636939787945
22,0.001,0.08118524394432704,0.05562186434864998,0.22127078620592752,0.1457962960799535,-6.550759210346284,-8.362535090253857
23,0.001,0.07400005439917247,0.06273356972138087,0.20407746521631875,0.21333244065443674,-6.902049486034906,-6.7094309801544725
