epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db,val_final_nmse,val_final_nmse_db
1,0.001,1.007043755531311,1.2505506534576416,1.0461730499267579,0.9827821679115295,0.1960352813755628,-0.0754273217555666,0.3033754555045057,-5.180195585860252
2,0.001,0.9385428333282471,1.1702647533416748,0.9732817277908326,0.9370635423660278,-0.11761429911483968,-0.28230958564447134,0.2876556018631817,-5.411271640178351
3,0.001,0.8444793090820313,0.9274180660247803,0.9087878460884095,0.8174161357879639,-0.4153748974488847,-0.8755679357021978,0.24439127315538936,-6.119143061550398
4,0.001,0.7694559574127198,0.8224938640594482,0.8470949325561523,0.7793768682479858,-0.7206791626316835,-1.082524881267729,0.2342737066385162,-6.302764510640695
5,0.001,0.725949257850647,0.880672749042511,0.8225821146965027,0.7543089385032654,-0.8482073753661666,-1.2245074589714864,0.2273389557067184,-6.43326139291004
6,0.001,0.7059282221794129,0.8091445407867431,0.8019579434394837,0.7805116205215454,-0.9584840654261916,-1.0762062662998761,0.2348372162847789,-6.292330763071701
7,0.001,0.6714894461631775,0.7813756675720215,0.776732949256897,0.7284016718864441,-1.097282715456866,-1.3762906604814484,0.22044735952985717,-6.566950986905974
8,0.001,0.6635820188522339,0.7597392101287842,0.7560366611480713,0.6938796253204346,-1.2145714451431049,-1.5871586469420769,0.20960769090280337,-6.785927863096372
9,0.001,0.6343593821525574,0.7716439089775086,0.7288231477737427,0.6493445954322815,-1.3737784241436684,-1.875247697976826,0.19646569758589152,-7.067132653883373
10,0.001,0.6267300233840942,0.7423882784843445,0.7177241902351379,0.6336231179237366,-1.4404241602406953,-1.9816898576901474,0.1905375879280447,-7.200193369465512
11,0.001,0.6319278762340546,0.7790259470939637,0.7133176512718201,0.6160964918136597,-1.4671702909146829,-2.1035126416602377,0.18591012128277024,-7.3069696580851
12,0.001,0.6170871534347534,0.7449212608337402,0.690993390083313,0.5899136667251587,-1.6052610698770178,-2.29211542270303,0.1766660533983836,-7.528468927009123
13,0.001,0.6139719927310944,0.7741661648750305,0.6882627782821655,0.6244579491615295,-1.6224571675131787,-2.0449680158446153,0.18785961759642628,-7.26166566040381
14,0.001,0.6116279752254487,0.7687392225265502,0.6842891950607299,0.6157943968772888,-1.6476031746759316,-2.1056426706702935,0.18542455222941068,-7.3183276106650315
15,0.001,0.6079589900970459,0.7339265332221985,0.6788863172531128,0.578958906173706,-1.6820294431036822,-2.3735226089321673,0.17441723912731244,-7.584105922941754
16,0.001,0.6033149738311767,0.7596867794990539,0.6743348708152771,0.5754881343841552,-1.71124381757316,-2.3996362637756095,0.17328985188202403,-7.61226869488532
17,0.001,0.6054708948135376,0.7554103350639343,0.6715796704292297,0.5742066869735718,-1.7290245898133323,-2.4093175419616077,0.17296627380916077,-7.620385704346836
18,0.001,0.6076058659553528,0.7447445573806762,0.6645024862289429,0.5622595925331115,-1.7750338981005174,-2.5006312646830113,0.16882736609436896,-7.725571549824143
19,0.001,0.6027160243988037,0.7714020428657532,0.6637577257156372,0.5754629807472229,-1.7799041097089863,-2.3998260908773457,0.17363062161489085,-7.603736799336483
20,0.001,0.6149368472099305,0.7562610926628113,0.6715376706123352,0.5681494970321656,-1.7292962010593018,-2.4553737345546898,0.17159439494352413,-7.654969022964892
21,0.001,0.6022737607955932,0.7570705857276917,0.6661052570343018,0.5614774379730224,-1.764571387917537,-2.506676904455932,0.16882733234118372,-7.725572418097096
22,0.001,0.5980588502883911,0.7504137954711914,0.6595247340202331,0.5728555655479431,-1.807689125557124,-2.4195486318543944,0.17261746681866122,-7.629152610011401
23,0.001,0.5976843390464782,0.7515608539581299,0.657863314628601,0.5664812602996826,-1.818643311109214,-2.468144524079168,0.17048875657640483,-7.683042566587714
24,0.001,0.6077946949005127,0.7543309459686279,0.6626504311561584,0.5691703705787658,-1.7871551511963801,-2.4475771615815294,0.17153020597480614,-7.65659390880309
25,0.001,0.5920705523490906,0.7772163934707642,0.6608406991958619,0.5701273493766784,-1.7990321796993665,-2.4402812510974226,0.17188731238415597,-7.647561789552216
26,0.001,0.6026840720176697,0.7782189331054687,0.6579327020645142,0.583867959022522,-1.8181852677624322,-2.3368535691435737,0.17676883138486205,-7.525943091808997
27,0.001,0.5934109783172608,0.7507842993736267,0.6607480030059815,0.5664404978752137,-1.7996414077255662,-2.4684570416188083,0.17027893838839336,-7.688390661147033
28,0.001,0.5918489933013916,0.7592490615844727,0.6572311115264893,0.5693755345344543,-1.82281886435283,-2.4460119796348865,0.1714631039040084,-7.658293187395656
29,0.001,0.5982618627548217,0.7648221521377564,0.6573391456604004,0.592618537902832,-1.8221050397692613,-2.2722476732950283,0.17849312473080226,-7.483785075572744
