epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db
1,0.001,0.0745979191660881,0.05092605346441269,0.146872474193573,0.05904447093605995,-8.330595890018959,-12.28820764509141
2,0.001,0.05192932677268982,0.045891221284866335,0.08969600766897201,0.04637836247682572,-10.472268867878057,-13.336845894589919
3,0.001,0.04754192805290222,0.04571673285961151,0.08040301564335824,0.04732060769200325,-10.947276620387527,-13.249496867915907
4,0.001,0.043718045994639396,0.045677421629428866,0.0749148731827736,0.04374756988883018,-11.254319513263864,-13.590460663715744
5,0.001,0.04237676692008972,0.04240698398649693,0.06806155210733414,0.04829725652933121,-11.670981512736422,-13.160775381514329
6,0.001,0.04050953015685081,0.03932203797996044,0.05955196934938431,0.040747487723827365,-12.251038720749296,-13.898991624163447
7,0.001,0.043091457903385165,0.04004213935136795,0.06364702045917511,0.04507255440950394,-11.96221922386236,-13.460878283387013
8,0.001,0.041337772637605665,0.03811628904938698,0.06230851536989212,0.04348971927165985,-12.054525965922117,-13.61613395718489
9,0.001,0.040684425950050354,0.04307219558954239,0.06236234444379807,0.05155257031321526,-12.050775663525716,-12.877496767428688
10,0.001,0.04179526688158512,0.04787530654668808,0.06947499346733094,0.08886265641450881,-11.581714853868949,-10.512807083254078
11,0.001,0.03968758398294449,0.039269404679536817,0.06079327923059463,0.04225006753206253,-12.161444298456692,-13.741725925420127
12,0.001,0.03916501799225807,0.0374802256822586,0.05735626554489136,0.045660090863704685,-12.41419133247591,-13.404632285977264
13,0.001,0.03994822098314762,0.04477696344256401,0.06447082743048668,0.053089264690876006,-11.906367559376683,-12.749932897823415
14,0.001,0.03964520189166069,0.0404190209209919,0.059811240404844285,0.04022437915205956,-12.232171908098762,-13.95510650346781
15,0.001,0.03845765057206154,0.03936921791732311,0.05510351270437241,0.04577398890256882,-12.58820715131888,-13.393812400111871
16,0.001,0.03774683800339699,0.038297239497303966,0.053883135676383975,0.041656572937965396,-12.685471388710024,-13.803164620731529
17,0.001,0.03855461496114731,0.04014788371324539,0.055757929742336274,0.040104269593954085,-12.536933596979022,-13.968093889163203
18,0.001,0.03791594383120537,0.040830058336257934,0.054364494323730465,0.042892080336809156,-12.646846472428274,-13.676228892497061
19,0.001,0.03735284429788589,0.04100726942718029,0.05241901242733002,0.039692553639411925,-12.805111654077555,-14.012909596509227
20,0.001,0.03722267632186413,0.040148038282990454,0.051903103947639466,0.04388267600536346,-12.848066693765272,-13.577068966185902
21,0.001,0.03787967368960381,0.038370113268494606,0.05681964528560639,0.04638039892911911,-12.45501481823654,-13.33665520209243
22,0.001,0.03718836176395416,0.035979934304952624,0.052540881514549255,0.04214506494998932,-12.795026450312413,-13.752532725331259
23,0.001,0.03767659661173821,0.04167185553908348,0.05496537414193153,0.04167532378435135,-12.599108115001307,-13.801210173617237
24,0.001,0.037751510858535765,0.0375595800280571,0.053813151657581326,0.04376775252819061,-12.691115720231188,-13.58845753813321
25,0.001,0.038472743451595307,0.038382791012525556,0.055569103360176085,0.05623681384325027,-12.551666107523102,-12.499792927089384
26,0.001,0.036920781135559085,0.03782240264117718,0.05451302808523178,0.04484494069218636,-12.634996931478451,-13.482865460068314
27,0.001,0.03717941236495972,0.03733404496312141,0.050891278326511385,0.03994233614206314,-12.933566400448166,-13.985665377643581
